Trans. Date,Post Date,Description,Amount,Category
01/27/2023,01/28/2023,"WALMART SC 03222 CENTRAL SC",24.51,"Merchandise"
01/28/2023,01/28/2023,"7-ELEVEN 36852 CLEMSON SC",11.22,"Gasoline"
01/28/2023,01/28/2023,"AUTOMATIC STATEMENT CREDIT",-6.02,"Awards and Rebate Credits"
01/29/2023,01/29/2023,"UBER TRIP 866-576-1039 CA",9.23,"Travel/ Entertainment"
01/29/2023,01/29/2023,"WALMART SC 03222 CENTRAL SC",31.96,"Merchandise"
01/31/2023,01/31/2023,"USPS PO 4516800631 CLEMSON SC",1.26,"Government Services"
01/31/2023,01/31/2023,"WALMART SC 04445 CLEMSON SC",9.03,"Merchandise"
02/01/2023,02/01/2023,"POPEYES 13303 ANDERSON SC",10.88,"Restaurants"
02/03/2023,02/03/2023,"EXXONMOBIL COLUMBIA SC",36.49,"Gasoline"
02/03/2023,02/03/2023,"ZAXBY'S #54001 FOUNTAIN INN SC00322R",8.95,"Restaurants"
02/04/2023,02/04/2023,"CHINA EXPRESS CLEMSON SC",10.85,"Restaurants"
02/04/2023,02/04/2023,"WALMART SC 04445 CLEMSON SC",15.35,"Merchandise"
02/06/2023,02/06/2023,"WALMART FUEL 04445 CLEMSON SC",35.40,"Gasoline"
02/07/2023,02/07/2023,"WALMART SC 04445 CLEMSON SC",38.65,"Merchandise"
02/08/2023,02/08/2023,"UBER TRIP 866-576-1039 CA",15.02,"Travel/ Entertainment"
02/09/2023,02/09/2023,"CHINA EXPRESS CLEMSON SC",10.85,"Restaurants"
02/09/2023,02/09/2023,"LS GOTTA RUN CLEMSON, 8642472527 SC",70.61,"Merchandise"
02/10/2023,02/10/2023,"WALMART SC 04445 CLEMSON SC",27.81,"Merchandise"
02/13/2023,02/13/2023,"CHICK-FIL-A #02536 CLEMSON SC",18.37,"Restaurants"
02/13/2023,02/13/2023,"CLEMSON SC DENTAL ASSOCI CLEMSON SC",174.40,"Medical Services"
02/14/2023,02/14/2023,"WALMART SC 04445 CLEMSON SC",43.90,"Merchandise"
02/16/2023,02/16/2023,"PAR*SMOOTHIE KING SK1213 CLEMSON SC",7.00,"Restaurants"
02/17/2023,02/17/2023,"WALMART FUEL 04445 CLEMSON SC",33.56,"Gasoline"
02/18/2023,02/18/2023,"CHICK-FIL-A #04395 ANDERSON SC",16.24,"Restaurants"
02/18/2023,02/18/2023,"PAR*SMOOTHIE KING SK1213 CLEMSON SC",8.50,"Restaurants"
02/19/2023,02/19/2023,"CHINA EXPRESS CLEMSON SC",10.85,"Restaurants"
02/19/2023,02/19/2023,"FREEDOM STOP #2 CHESNEE SC",2.29,"Gasoline"
02/21/2023,02/21/2023,"INTERNET PAYMENT - THANK YOU",-800.00,"Payments and Credits"
02/28/2023,02/28/2023,"AUTOMATIC STATEMENT CREDIT",-6.83,"Awards and Rebate Credits"
02/28/2023,02/28/2023,"INTERNET PAYMENT - THANK YOU",-449.18,"Payments and Credits"
02/28/2023,02/28/2023,"TARGET 00011981091 ANDERSON SC",13.45,"Supermarkets"
02/28/2023,02/28/2023,"WALMART SC 04445 CLEMSON SC",27.78,"Merchandise"
03/02/2023,03/02/2023,"ARDENS BURGER & GRILL ANDERSON SC",11.75,"Restaurants"
03/02/2023,03/02/2023,"MARATHON PETRO188441 CLEMSON SC",33.12,"Gasoline"
03/03/2023,03/03/2023,"PAR*SMOOTHIE KING SK1213 CLEMSON SC",7.00,"Restaurants"
03/04/2023,03/04/2023,"WALMART SC 03222 CENTRAL SC",38.22,"Merchandise"
03/05/2023,03/05/2023,"OSAKA EXPRESS CLEMSON SC",16.12,"Restaurants"
03/06/2023,03/06/2023,"MARCOS PIZZA - 8527 - CL CLEMSON SC",15.24,"Restaurants"
03/09/2023,03/09/2023,"VIOC GO0016 CLEMSON SC",52.09,"Automotive"
03/09/2023,03/09/2023,"WALMART SC 03222 CENTRAL SC",34.62,"Merchandise"
03/11/2023,03/11/2023,"BACKSTREETS PUB & GRILL CLEMSON SC",4.25,"Restaurants"
03/11/2023,03/11/2023,"ITSURWIENER CLEMSON SC",10.75,"Restaurants"
03/11/2023,03/11/2023,"LS GOTTA RUN CLEMSON, 8642472527 SC",50.87,"Merchandise"
03/11/2023,03/11/2023,"STOP A MINIT #32 LIBERTY SC",24.25,"Gasoline"
03/12/2023,03/12/2023,"UBER TRIP 866-576-1039 CA",1.00,"Travel/ Entertainment"
03/12/2023,03/12/2023,"UBER TRIP 866-576-1039 CA",15.99,"Travel/ Entertainment"
03/12/2023,03/12/2023,"WALMART SC 03222 CENTRAL SC",18.75,"Merchandise"
03/14/2023,03/14/2023,"CHICK-FIL-A #04395 ANDERSON SC",18.63,"Restaurants"
03/15/2023,03/15/2023,"CHINA EXPRESS CLEMSON SC",21.69,"Restaurants"
03/15/2023,03/15/2023,"WALMART FUEL 04445 CLEMSON SC",34.46,"Gasoline"
03/15/2023,03/15/2023,"WALMART SC 03222 CENTRAL SC",33.77,"Merchandise"
03/17/2023,03/17/2023,"PADDLE.NET* GEOGUESSR 7745236658 NY",23.88,"Merchandise"
03/18/2023,03/18/2023,"CHICK-FIL-A #00713 GREENVILLE SC",11.91,"Restaurants"
03/20/2023,03/20/2023,"MARCOS PIZZA - 8527 - CL CLEMSON SC",10.89,"Restaurants"
03/21/2023,03/21/2023,"GREENVILLE PARKINGWEST E GREENVILLE SC",5.00,"Services"
03/21/2023,03/21/2023,"QT 1109 ANDERSON SC0110902ZCGRKBGN",3.18,"Gasoline"
03/22/2023,03/22/2023,"CHICK-FIL-A #00713 GREENVILLE SC",12.52,"Restaurants"
03/22/2023,03/22/2023,"PUBLIX SUPERMARKETS #137 CLEMSON SC",22.37,"Supermarkets"
03/22/2023,03/22/2023,"QT 1134 GREENVILLE SC01134035SRW3EGN",39.08,"Gasoline"
03/24/2023,03/24/2023,"PAR*SMOOTHIE KING SK1213 CLEMSON SC",7.00,"Restaurants"
03/24/2023,03/24/2023,"PUBLIX SUPERMARKETS #137 CLEMSON SC",39.34,"Supermarkets"
03/25/2023,03/25/2023,"LS GOTTA RUN CLEMSON, 8642472527 SC",9.94,"Merchandise"
03/26/2023,03/28/2023,"CHINA EXPRESS CLEMSON SC",24.96,"Restaurants"
03/28/2023,03/28/2023,"AUTOMATIC STATEMENT CREDIT",-9.17,"Awards and Rebate Credits"
03/29/2023,03/29/2023,"CITGO TIGER MART CLEMSON SCL36372587",12.27,"Gasoline"
03/29/2023,03/29/2023,"PAR*SMOOTHIE KING SK1213 CLEMSON SC",7.00,"Restaurants"
03/29/2023,03/29/2023,"PUBLIX SUPERMARKETS #137 CLEMSON SC",14.12,"Supermarkets"
03/29/2023,03/29/2023,"REI #145 GREENVILLE GREENVILLE SC1264441450254711",21.86,"Merchandise"
03/29/2023,03/29/2023,"STOP A MINIT #32 LIBERTY SC",11.68,"Gasoline"
03/31/2023,03/31/2023,"PUBLIX SUPERMARKETS #137 CLEMSON SC",24.72,"Supermarkets"
03/31/2023,03/31/2023,"SUNOCO 0279740500 CLEMSON SC",30.22,"Gasoline"
04/03/2023,04/03/2023,"WALMART SC 04445 CLEMSON SC",24.15,"Merchandise"
04/04/2023,04/04/2023,"7009 GREAT CLIPS AT CLEM CLEMSON SC",16.00,"Services"
04/04/2023,04/04/2023,"PUBLIX SUPERMARKETS #137 CLEMSON SC",20.96,"Supermarkets"
04/05/2023,04/05/2023,"JOY OF TOKYO 3 864-232-2888 SC",12.41,"Restaurants"
04/05/2023,04/05/2023,"STOP A MINIT #32 LIBERTY SC",16.75,"Gasoline"
04/06/2023,04/06/2023,"CHARLESTON SPORTS PUB CL CLEMSON SC",25.47,"Restaurants"
04/08/2023,04/08/2023,"CIRCLE K # 23415 SPARTANBURG SC00879R",39.37,"Gasoline"
04/08/2023,04/08/2023,"JOY OF TOK* JOY OF TOK 8887072469 SC",13.95,"Restaurants"
04/10/2023,04/10/2023,"CHICK-FIL-A #04395 ANDERSON SC",12.37,"Restaurants"
04/12/2023,04/12/2023,"CVS/PHARMACY #08936 MURRELLS INLESC",11.33,"Merchandise"
04/14/2023,04/14/2023,"MTS- PRONTO SAN DIEGO CA113704",2.50,"Travel/ Entertainment"
04/18/2023,04/18/2023,"INTERNET PAYMENT - THANK YOU",-668.91,"Payments and Credits"
04/19/2023,04/19/2023,"JACKS GROCERY & DELI JULIAN CA",29.34,"Supermarkets"
04/24/2023,04/24/2023,"IDYLLWILD ICE CREAM AND IDYLLWILD CA",9.64,"Supermarkets"
04/28/2023,04/28/2023,"AUTOMATIC STATEMENT CREDIT",-7.94,"Awards and Rebate Credits"
04/30/2023,04/30/2023,"IN N OUT BURGER 292 CABAZON CA",5.01,"Restaurants"
04/30/2023,04/30/2023,"IN N OUT BURGER 292 CABAZON CA",10.99,"Restaurants"
04/30/2023,04/30/2023,"WALMART SC 05156 BEAUMONT CA",47.24,"Merchandise"
05/03/2023,05/03/2023,"BEAR SKINS BIG BEAR LAKECA",3.23,"Merchandise"
05/03/2023,05/03/2023,"TST* HIMALAYAN RESTAUR BIG BEAR LAKECA00055758011543913552AA",18.91,"Restaurants"
05/04/2023,05/04/2023,"BIG BEAR SPORTING GOODS BIG BEAR LAKECA",6.45,"Merchandise"
05/04/2023,05/04/2023,"USPS PO 0506900314 BIG BEAR CITYCA",22.01,"Government Services"
05/04/2023,05/04/2023,"VONS #2374 BIG BEAR LAKECA",76.30,"Supermarkets"
05/11/2023,05/11/2023,"MCDONALD'S F15250 PHELAN CA",2.04,"Restaurants"
05/11/2023,05/11/2023,"MCDONALD'S F15250 PHELAN CA",11.83,"Restaurants"
05/12/2023,05/12/2023,"JENSEN'S WRIGHTWOOD WRIGHTWOOD CA",18.47,"Supermarkets"
05/13/2023,05/13/2023,"JENSEN'S WRIGHTWOOD WRIGHTWOOD CA",60.24,"Supermarkets"
05/13/2023,05/13/2023,"WRIGHTWOOD MARKET WRIGHTWOOD CA",4.24,"Gasoline"
05/14/2023,05/14/2023,"JENSEN'S WRIGHTWOOD WRIGHTWOOD CA",3.37,"Supermarkets"
05/17/2023,05/17/2023,"INTERNET PAYMENT - THANK YOU",-371.90,"Payments and Credits"
05/18/2023,05/18/2023,"'49ER SALOON ACTON CA",6.00,"Restaurants"
05/18/2023,05/18/2023,"'49ER SALOON ACTON CA",22.36,"Restaurants"
05/18/2023,05/18/2023,"'49ER SALOON ACTON CA",28.97,"Restaurants"
05/18/2023,05/18/2023,"ACTON MKT COUNTRY STORE ACTON CA",2.62,"Supermarkets"
05/18/2023,05/18/2023,"ACTON MKT COUNTRY STORE ACTON CA",35.97,"Supermarkets"
05/18/2023,05/18/2023,"LOS ANGELES RV RESORT ACTON CA",1.75,"Services"
05/18/2023,05/18/2023,"USPS PO 0500180510 ACTON CA",10.20,"Government Services"
05/19/2023,05/19/2023,"BIG MOUTH PIZZA CO AGUA DULCE CA021859",15.33,"Restaurants"
05/19/2023,05/19/2023,"THE ORIGINAL ACTON MARKE ACTON CA",6.19,"Supermarkets"
05/20/2023,05/20/2023,"MARIA BONITA MEXICAN RES AGUA DULCE CA",8.12,"Restaurants"
05/20/2023,05/20/2023,"MARIA BONITA MEXICAN RES AGUA DULCE CA",37.66,"Restaurants"
05/21/2023,05/21/2023,"KWIK SERV GREEN VALLEY SANTA CLARITACA",3.99,"Gasoline"
05/23/2023,05/23/2023,"WEE VILL MARKET LANCASTER CA",4.16,"Supermarkets"
05/23/2023,05/23/2023,"WEE VILL MARKET LANCASTER CA",5.15,"Supermarkets"
05/23/2023,05/23/2023,"WEE VILL MARKET LANCASTER CA",11.22,"Supermarkets"
05/24/2023,05/24/2023,"TKS PIZZA AND PASTA TEHACHAPI CA",21.19,"Restaurants"
05/24/2023,05/24/2023,"TKS PIZZA AND PASTA TEHACHAPI CA",37.84,"Restaurants"
05/25/2023,05/28/2023,"THAI HACHAPI TEHACHAPI CA",26.87,"Restaurants"
05/26/2023,05/28/2023,"SEHRISH SUBS 58314 TEHACHAPI CA",12.22,"Restaurants"
05/26/2023,05/28/2023,"WALMART SC 04317 TEHACHAPI CA",74.53,"Merchandise"
05/27/2023,05/28/2023,"PRIMOS BURGERS TEHACHAPI CA",14.16,"Restaurants"
05/27/2023,05/28/2023,"USPS PO 0577460561 TEHACHAPI CA",7.14,"Government Services"
05/29/2023,05/29/2023,"AUTOMATIC STATEMENT CREDIT",-14.52,"Awards and Rebate Credits"
05/30/2023,05/30/2023,"NELDAS DINER LAKE ISABELLACA",24.76,"Restaurants"
05/30/2023,05/30/2023,"TACO BELL #032680 LAKE ISABELLACA",3.99,"Restaurants"
05/31/2023,05/31/2023,"AMAZON PRIME*ML9RT5I03 AMZN.COM/BILLWA5WH68EMXB2U",1.07,"Merchandise"
05/31/2023,05/31/2023,"SHELL10007121014 MOUNTAIN MESACA",5.99,"Gasoline"
06/01/2023,06/01/2023,"AMZN MKTP US*R96Y31LK3 AMZN.COM/BILLWA3M8FOZYA2O4",18.31,"Merchandise"
06/01/2023,06/01/2023,"KENNEDY MEADOWS GENERAL INYOKERN CA",3.11,"Restaurants"
06/01/2023,06/01/2023,"KENNEDY MEADOWS GENERAL INYOKERN CA",14.27,"Restaurants"
06/01/2023,06/01/2023,"KENNEDY MEADOWS GENERAL INYOKERN CA",21.79,"Restaurants"
06/01/2023,06/01/2023,"WWW.VARCOMM.NET 5595342211 CA",10.00,"Services"
06/02/2023,06/02/2023,"KENNEDY MEADOWS GENERAL INYOKERN CA",14.53,"Restaurants"
06/02/2023,06/02/2023,"SQ *GRUMPY BEAR'S RETR INYOKERN CA0001152921512849984001",4.00,"Supermarkets"
06/02/2023,06/02/2023,"SQ *GRUMPY BEAR'S RETR INYOKERN CA0001152921512848869298",6.46,"Supermarkets"
06/02/2023,06/02/2023,"SQ *GRUMPY BEAR'S RETR INYOKERN CA0001152921512849789080",10.00,"Supermarkets"
06/02/2023,06/02/2023,"SQ *GRUMPY BEAR'S RETR INYOKERN CA0001152921512846785995",14.01,"Supermarkets"
06/02/2023,06/02/2023,"SQ *GRUMPY BEAR'S RETR INYOKERN CA0001152921512846275397",15.00,"Supermarkets"
06/02/2023,06/02/2023,"SQ *GRUMPY BEAR'S RETR INYOKERN CA0001152921512848456244",25.70,"Supermarkets"
06/02/2023,06/02/2023,"SQ *TRIPLE CROWN OUTFI INYOKERN CA0001152921512847854897",166.69,"Merchandise"
06/03/2023,06/03/2023,"SQ *GRUMPY BEAR'S RETR INYOKERN CA0001152921512850671816",14.01,"Supermarkets"
06/03/2023,06/03/2023,"SQ *GRUMPY BEAR'S RETR INYOKERN CA0001152921512852596591",19.20,"Supermarkets"
06/04/2023,06/04/2023,"KENNEDY MEADOWS GENERAL INYOKERN CA",2.08,"Restaurants"
06/07/2023,06/07/2023,"AMAZON PRIME*T41GW6933 AMZN.COM/BILLWA33WSPSH8VDA",8.09,"Merchandise"
06/08/2023,06/08/2023,"HOSTEL CALIFORNIA BISHOP CA",68.40,"Travel/ Entertainment"
06/08/2023,06/08/2023,"MCDONALD'S F25417 LONE PINE CA",10.54,"Restaurants"
06/08/2023,06/08/2023,"SQ *BTT, INC. BISHOP CA0001152921512867395059",9.00,"Travel/ Entertainment"
06/08/2023,06/08/2023,"TST* ALABAMA HILLS CAF LONE PINE CA00045065012102518464AA",21.13,"Restaurants"
06/09/2023,06/09/2023,"DENNY'S #6064 BISHOP CA",14.10,"Restaurants"
06/09/2023,06/09/2023,"GREYHOUND LOS ANGELES CA",33.97,"Travel/ Entertainment"
06/09/2023,06/09/2023,"USPS PO 0579380160 TRUCKEE CA",19.25,"Government Services"
06/10/2023,06/10/2023,"INTERNET PAYMENT - THANK YOU",-541.11,"Payments and Credits"
06/10/2023,06/10/2023,"PRIME VIDEO *U59F16A93 888-802-3080 WAMMB1I6IE1VG",4.49,"Merchandise"
